date,sales,day_name,month,quarter,is_weekend,is_special_day,ma_7,ma_30,sales_lag_1,sales_lag_7,sales_lag_14,sales_lag_30,rolling_mean_7,rolling_std_7,day_of_week,day_of_month,day_of_year,week_of_year
2023-01-31,1186.65,Tuesday,1,1,0,0,1159.6314285714286,1145.7040000000002,1179.15,1119.09,1112.17,1174.84,1131.5814285714284,98.47030456412942,1,31,31,5
2023-02-01,1258.91,Wednesday,2,1,0,0,1166.4842857142858,1147.9256666666665,1186.65,1112.85,1128.4,1075.4,1152.4471428571428,108.77534780673531,2,1,32,5
2023-02-02,1082.47,Thursday,2,1,0,0,1165.6842857142858,1147.7646666666667,1258.91,1062.67,984.48,1138.13,1155.2757142857142,106.28053849084888,3,2,33,5
2023-02-03,979.76,Friday,2,1,0,0,1172.8585714285714,1147.8916666666667,1082.47,949.27,909.12,1131.91,1159.6314285714286,96.61601237693004,4,3,34,5
2023-02-04,1246.65,Saturday,2,1,1,0,1166.7271428571428,1157.3716666666667,979.76,1198.68,1226.26,961.39,1166.4842857142858,101.42865503350036,5,4,35,5
2023-02-05,1226.2,Sunday,2,1,1,0,1147.5442857142857,1168.5586666666668,1246.65,1231.8,1223.78,911.41,1165.6842857142858,100.8480510234985,6,5,36,5
2023-02-06,1229.37,Monday,2,1,0,0,1152.5485714285714,1170.3573333333334,1226.2,1179.15,1170.52,1175.49,1172.8585714285714,103.71132089098298,0,6,37,6
2023-02-07,1143.73,Tuesday,2,1,0,0,1168.8457142857144,1171.7973333333332,1229.37,1186.65,1119.09,1217.19,1166.7271428571428,104.02831164548226,1,7,38,6
2023-02-08,1124.63,Wednesday,2,1,0,0,1167.6271428571429,1172.818,1143.73,1258.91,1112.85,1087.63,1147.5442857142857,96.28945422650465,2,8,39,6
2023-02-09,1117.5,Thursday,2,1,0,0,1178.9185714285716,1174.9019999999998,1124.63,1082.47,1062.67,1161.63,1152.5485714285714,93.20465857966771,3,9,40,6
2023-02-10,1093.84,Friday,2,1,0,0,1178.6357142857144,1176.1816666666666,1117.5,979.76,949.27,1061.3,1168.8457142857144,63.05325549542609,4,10,41,6
